,mean_map,std_map,median_map,min_map,max_map,total_timesteps
sac,0.5459774548081604,0.25887174637528904,0.479174365942029,0.18118123338649653,1.0,750.0
ppo,0.6220351450490015,0.20232709485224773,0.5654162601626016,0.3646923076923077,1.0,750.0
imitation_learning,0.9716032801009277,0.020567397702352046,0.9767429805612282,0.9258670996415761,1.0,750.0
