video_id,method,timestep,map
VID02,imitation_learning,0,0.0
VID02,imitation_learning,1,0.0
VID02,imitation_learning,2,0.0
VID02,imitation_learning,3,0.0
VID02,imitation_learning,4,0.0
VID02,imitation_learning,5,0.0
VID02,imitation_learning,6,0.0
VID02,imitation_learning,7,0.0
VID02,imitation_learning,8,0.0
VID02,imitation_learning,9,0.0
VID02,imitation_learning,10,0.0
VID02,imitation_learning,11,0.0
VID02,imitation_learning,12,0.0
VID02,imitation_learning,13,0.0
VID02,imitation_learning,14,0.0
VID02,imitation_learning,15,0.0
VID02,imitation_learning,16,0.0
VID02,imitation_learning,17,0.0
VID02,imitation_learning,18,0.0
VID02,imitation_learning,19,0.0
VID02,imitation_learning,20,0.0
VID02,imitation_learning,21,0.0
VID02,imitation_learning,22,0.0
VID02,imitation_learning,23,0.0
VID02,imitation_learning,24,0.0
VID02,imitation_learning,25,0.0
VID02,imitation_learning,26,0.0
VID02,imitation_learning,27,0.0
VID02,imitation_learning,28,0.0
VID02,imitation_learning,29,0.0
VID02,imitation_learning,30,0.0
VID02,imitation_learning,31,0.0
VID02,imitation_learning,32,0.0
VID02,imitation_learning,33,0.0
VID02,imitation_learning,34,0.0
VID02,imitation_learning,35,0.0
VID02,imitation_learning,36,0.0
VID02,imitation_learning,37,0.0
VID02,imitation_learning,38,0.02564102564102564
VID02,imitation_learning,39,0.05
VID02,imitation_learning,40,0.07317073170731707
VID02,imitation_learning,41,0.09523809523809523
VID02,imitation_learning,42,0.11627906976744186
VID02,imitation_learning,43,0.13636363636363635
VID02,imitation_learning,44,0.15555555555555556
VID02,imitation_learning,45,0.17391304347826086
VID02,imitation_learning,46,0.19148936170212766
VID02,imitation_learning,47,0.20833333333333334
VID02,imitation_learning,48,0.22448979591836735
VID02,imitation_learning,49,0.24
VID02,imitation_learning,50,0.2549019607843137
VID02,imitation_learning,51,0.2692307692307692
VID02,imitation_learning,52,0.2830188679245283
VID02,imitation_learning,53,0.2962962962962963
VID02,imitation_learning,54,0.3090909090909091
VID02,imitation_learning,55,0.32142857142857145
VID02,imitation_learning,56,0.3333333333333333
VID02,imitation_learning,57,0.3448275862068966
VID02,imitation_learning,58,0.3559322033898305
VID02,imitation_learning,59,0.36666666666666664
VID02,imitation_learning,60,0.3770491803278688
VID02,imitation_learning,61,0.3870967741935484
VID02,imitation_learning,62,0.3968253968253968
VID02,imitation_learning,63,0.40625
VID02,imitation_learning,64,0.4153846153846154
VID02,imitation_learning,65,0.42424242424242425
VID02,imitation_learning,66,0.43283582089552236
VID02,imitation_learning,67,0.4411764705882353
VID02,imitation_learning,68,0.4492753623188406
VID02,imitation_learning,69,0.45714285714285713
VID02,imitation_learning,70,0.4647887323943662
VID02,imitation_learning,71,0.4722222222222222
VID02,imitation_learning,72,0.4794520547945205
VID02,imitation_learning,73,0.4864864864864865
VID02,imitation_learning,74,0.49333333333333335
VID02,imitation_learning,75,0.5
VID02,imitation_learning,76,0.5064935064935064
VID02,imitation_learning,77,0.5128205128205128
VID02,imitation_learning,78,0.5189873417721519
VID02,imitation_learning,79,0.525
VID02,imitation_learning,80,0.5308641975308642
VID02,imitation_learning,81,0.5365853658536586
VID02,imitation_learning,82,0.5421686746987951
VID02,imitation_learning,83,0.5476190476190477
VID02,imitation_learning,84,0.5529411764705883
VID02,imitation_learning,85,0.5581395348837209
VID02,imitation_learning,86,0.5632183908045977
VID02,imitation_learning,87,0.5681818181818182
VID02,imitation_learning,88,0.5730337078651685
VID02,imitation_learning,89,0.5777777777777777
VID02,imitation_learning,90,0.5824175824175825
VID02,imitation_learning,91,0.5869565217391305
VID02,imitation_learning,92,0.5913978494623656
VID02,imitation_learning,93,0.5957446808510638
VID02,imitation_learning,94,0.425
VID02,imitation_learning,95,0.36979166666666663
VID02,imitation_learning,96,0.3560996563573883
VID02,imitation_learning,97,0.4163265306122449
