method,final_mAP_mean,final_mAP_std,final_mAP_min,final_mAP_max,mean_mAP_mean,mean_mAP_std,mean_mAP_min,mean_mAP_max,mAP_degradation_mean,mAP_degradation_std,mAP_degradation_min,mAP_degradation_max,exact_match_final_mean,exact_match_overall_mean,confidence_mean,confidence_std,trajectory_stability,num_videos
DirectVideoRL_a2c,0.824,0.0,0.824,0.824,0.8931168794168795,0.0,0.8931168794168795,0.8931168794168795,0.17600000000000005,0.0,0.17600000000000005,0.17600000000000005,0.3333333333333333,0.19990916490916488,0.037166809539000194,0.0,-0.17600000000000005,1
DirectVideoRL_ppo,0.824,0.0,0.824,0.824,0.8931168794168795,0.0,0.8931168794168795,0.8931168794168795,0.17600000000000005,0.0,0.17600000000000005,0.17600000000000005,0.3333333333333333,0.19990916490916488,0.19735305905342101,0.0,-0.17600000000000005,1
