video_id,method,mean_map,initial_map,final_map,degradation,num_predictions
VID02,imitation_learning,0.9832513614794628,1.0,0.9509090909090909,0.049090909090909074,99
VID02,ppo,0.3079998490257596,0.47,0.19768458781362008,0.2723154121863799,99
VID02,sac,0.371993700857691,0.62,0.27754111574145535,0.34245888425854465,99
VID06,imitation_learning,0.9833565738077459,1.0,0.9769679684545995,0.023032031545400455,99
VID06,ppo,0.21515830222457105,0.48,0.17445297512944571,0.3055470248705543,99
VID06,sac,0.3306020062226867,0.62,0.1842850616816134,0.4357149383183866,99
VID111,imitation_learning,0.9904040404040404,1.0,0.99,0.010000000000000009,99
VID111,ppo,0.3761616161616162,0.47,0.36,0.10999999999999999,99
VID111,sac,0.4040404040404042,0.61,0.34,0.26999999999999996,99
VID14,imitation_learning,0.9609238761900785,1.0,0.9264642525476543,0.0735357474523457,99
VID14,ppo,0.22554479086442422,0.56,0.2016761316311541,0.35832386836884594,99
VID14,sac,0.26927539788927846,0.56,0.1813689734153681,0.378631026584632,99
VID23,imitation_learning,0.974749413681453,0.99,0.9611802984592711,0.02881970154072888,99
VID23,ppo,0.3782209704715492,0.6,0.20468791317825136,0.3953120868217486,99
VID23,sac,0.28121888415776597,0.6,0.22631426391350742,0.3736857360864926,99
