video_id,method,timestep,cumulative_map
VID02,imitation_learning,1,1.0
VID02,imitation_learning,2,1.0
VID02,imitation_learning,3,1.0
VID02,imitation_learning,4,1.0
VID02,imitation_learning,5,1.0
VID02,imitation_learning,6,1.0
VID02,imitation_learning,7,1.0
VID02,imitation_learning,8,1.0
VID02,imitation_learning,9,1.0
VID02,imitation_learning,10,1.0
VID02,imitation_learning,11,1.0
VID02,imitation_learning,12,1.0
VID02,imitation_learning,13,1.0
VID02,imitation_learning,14,1.0
VID02,imitation_learning,15,1.0
VID02,imitation_learning,16,1.0
VID02,imitation_learning,17,1.0
VID02,imitation_learning,18,1.0
VID02,imitation_learning,19,1.0
VID02,imitation_learning,20,1.0
VID02,imitation_learning,21,1.0
VID02,imitation_learning,22,1.0
VID02,imitation_learning,23,1.0
VID02,imitation_learning,24,1.0
VID02,imitation_learning,25,1.0
VID02,imitation_learning,26,1.0
VID02,imitation_learning,27,1.0
VID02,imitation_learning,28,1.0
VID02,imitation_learning,29,1.0
VID02,imitation_learning,30,1.0
VID02,imitation_learning,31,1.0
VID02,imitation_learning,32,1.0
VID02,imitation_learning,33,1.0
VID02,imitation_learning,34,1.0
VID02,imitation_learning,35,1.0
VID02,imitation_learning,36,1.0
VID02,imitation_learning,37,1.0
VID02,imitation_learning,38,0.9902631578947368
VID02,imitation_learning,39,0.9905128205128204
VID02,imitation_learning,40,0.99075
VID02,imitation_learning,41,0.9909756097560976
VID02,imitation_learning,42,0.9911904761904762
VID02,imitation_learning,43,0.9913953488372093
VID02,imitation_learning,44,0.9815909090909091
VID02,imitation_learning,45,0.9817777777777777
VID02,imitation_learning,46,0.9819565217391305
VID02,imitation_learning,47,0.982127659574468
VID02,imitation_learning,48,0.9822916666666666
VID02,imitation_learning,49,0.9824489795918367
VID02,imitation_learning,50,0.9825999999999999
VID02,imitation_learning,51,0.9827450980392157
VID02,imitation_learning,52,0.9828846153846155
VID02,imitation_learning,53,0.9830188679245283
VID02,imitation_learning,54,0.9831481481481481
VID02,imitation_learning,55,0.9832727272727273
