,mean,std,min,max,median
imitation_learning,0.3575539566582837,0.2904489308514457,0.0,1.0,0.4345657056657564
ppo,0.2761930374470157,0.23603046935262,0.0,1.0,0.30311853474504075
sac,0.28319066272935184,0.2388645526865109,0.0,1.0,0.3172420377476558
