,mean_map,std_map,median_map,min_map,max_map,total_timesteps
sac,0.5331627564133326,0.25861098319503323,0.4706416635438786,0.19095890410958904,1.0,750.0
ppo,0.6029518790957644,0.22074768059203664,0.55,0.3102319587628866,1.0,750.0
imitation_learning,0.9716032801009277,0.020567397702352046,0.9767429805612282,0.9258670996415761,1.0,750.0
