ground_truth,imitation_learning,ppo,sac
0.0015328381087135951,0.0017204492314300257,0.0006684490098255417,0.0020676304940767908
0.00011791062374719962,0.005093853830126036,0.0034771941680809396,0.00013858357753018664
0.00011791062374719962,0.0013253140173260227,0.016867683531980326,0.0005134060559427822
0.00011791062374719962,0.0072398326846899634,0.0002131354159977516,0.0033222598698048923
0.0041268718311519865,0.0034374123214901066,0.015247507610265613,0.003016818303076475
0.00011791062374719962,0.0023299193640404087,0.002996798016855323,0.0022769607716881446
0.00023582124749439923,0.005047417516332981,0.0011382256967416822,0.00655899819782222
0.00035373187124159886,0.0011094797491491247,0.01079983182471902,0.004475241950723508
0.0007074637424831977,0.0007566068501806605,0.008973637718026499,0.00998415604432334
0.00011791062374719962,0.0066368682340977305,0.019002836983273343,0.003297315870519177
0.00011791062374719962,0.0021683949076289977,0.012023033347572605,0.003925977362861709
0.0007074637424831977,0.0037053255945454747,0.014726732963674128,0.0013063423198583978
0.0007074637424831977,0.00676957507319346,0.002999064468413369,0.010145481631069668
0.00011791062374719962,0.006252060566377142,0.0017680569790679682,0.003477717659472126
0.00023582124749439923,0.007944716742453116,0.01257031181040553,0.003533039268870809
0.0011791062374719961,0.004810611592556775,0.014882539640754429,0.001809429507525405
0.00011791062374719962,0.0030910016928387455,0.04215282373498237,0.009273369536432395
0.00011791062374719962,0.0030836716894384318,0.004816109872700316,0.0022330189788954146
0.00011791062374719962,0.00309107455831432,0.00421114967180248,0.0032611264504673193
0.00023582124749439923,0.02274315324494772,0.013558717165221603,0.0008287551005322825
0.00047164249498879847,0.0036262582235239353,0.0037720598087341126,0.0018379898779754262
0.00011791062374719962,0.00673178486104324,0.024168721298445384,0.008348277177386374
0.00011791062374719962,0.005666511129104058,0.017694203112547973,0.004270048393076745
0.00023582124749439923,0.003960211801976048,0.00507205205726394,0.0023752362275356073
0.004008961207404787,0.0005023910235984431,0.012579619640949436,0.0011320877228638737
0.00011791062374719962,0.004522213878341778,0.012714018581470388,0.0022501801922479234
0.00011791062374719962,0.004465148608847523,0.000985141492061922,0.005732964212695594
0.00011791062374719962,0.0013202842787271305,0.021075898066995336,0.008151305365016131
0.002240301851196793,0.001533298206961059,0.006369599877274376,0.006774918851406474
0.00011791062374719962,0.0005495535833078432,0.01585216557425471,0.0019837677111662435
0.002240301851196793,0.01489502477142514,0.0034914795691703073,0.00596785124075192
0.00023582124749439923,0.010817279174838136,0.020445415167051173,0.0061304855000415505
0.00023582124749439923,0.004164795255073626,0.004462279060813721,0.00033836719275761093
0.00023582124749439923,0.00932378437554241,9.863231397849156e-05,0.005619219276226271
0.00919702865228157,0.0026271673216555495,0.021342569530626833,0.0005414296295426296
0.00011791062374719962,0.006458284526316614,0.0008664592122109502,0.0025573399952838133
0.0020044806037023935,0.0015532157293989776,0.003481687734841918,0.001435966721950676
