,Imitation Learning,PPO,SAC
Noisy Input,8.282208588957063,15.835777126099721,6.9708491761723765
Missing Frames,4.754601226993869,12.609970674486814,4.182509505703426
Lighting Changes,2.7607361963190207,8.504398826979479,2.2813688212927774
Occlusions,9.969325153374243,19.06158357771261,11.53358681875793
Fast Motion,6.13496932515338,15.2492668621701,5.830164765525987
