,mean_map,std_map,median_map,min_map,max_map,map_at_start,map_at_end,map_degradation
imitation_learning,0.34854901402728117,0.28370176636288696,0.416307650325335,0.0,1.0,0.2,0.376791768263338,-0.17679176826333798
ppo,0.27746578678939704,0.23644047837390064,0.3022382225831443,0.0,1.0,0.2,0.30953841093970647,-0.10953841093970645
sac,0.27765594920237846,0.2390055782021956,0.2994033575681705,0.0,1.0,0.2,0.2920639579263104,-0.09206395792631039
